id,token_id,rarity_id,design_type,rendered_image_url,is_active,created_at,updated_at,template_image_url,last_rendered_at
9,10,3,classic,https://back.hodleague.com/static/card_renders/card_9.png,t,2025-12-09 23:52:04.633104+00,2026-01-23 03:00:02.317119+00,https://back.hodleague.com/static/card_templates/ada_classic_common_20260117_220802.png,2026-01-23 03:00:02.316183+00
15,16,3,classic,https://back.hodleague.com/static/card_renders/card_15.png,t,2025-12-09 23:52:04.637629+00,2026-01-23 03:00:02.732854+00,https://back.hodleague.com/static/card_templates/apt_classic_common_20260117_221323.png,2026-01-23 03:00:02.732053+00
12,13,3,classic,https://back.hodleague.com/static/card_renders/card_12.png,t,2025-12-09 23:52:04.635751+00,2026-01-23 03:00:03.10891+00,https://back.hodleague.com/static/card_templates/wlfi_classic_common_20260119_222509.png,2026-01-23 03:00:03.108053+00
11,12,3,classic,https://back.hodleague.com/static/card_renders/card_11.png,t,2025-12-09 23:52:04.634697+00,2026-01-23 03:00:03.482651+00,https://back.hodleague.com/static/card_templates/hype_classic_common_20260119_222658.png,2026-01-23 03:00:03.481787+00
4,5,3,classic,https://back.hodleague.com/static/card_renders/card_4.png,t,2025-12-09 23:52:04.628522+00,2026-01-23 03:00:03.859933+00,https://back.hodleague.com/static/card_templates/xrp_classic_common_20260117_210915.png,2026-01-23 03:00:03.859134+00
49,50,3,classic,https://back.hodleague.com/static/card_renders/card_49.png,t,2026-01-19 22:04:18.629776+00,2026-01-23 03:00:04.253392+00,https://back.hodleague.com/static/card_templates/aero_classic_common_20260119_223131.png,2026-01-23 03:00:04.252628+00
2,3,3,classic,https://back.hodleague.com/static/card_renders/card_2.png,t,2025-12-09 23:52:04.626219+00,2026-01-23 03:00:04.628177+00,https://back.hodleague.com/static/card_templates/btc_classic_common_20260117_211417.png,2026-01-23 03:00:04.627283+00
3,4,3,classic,https://back.hodleague.com/static/card_renders/card_3.png,t,2025-12-09 23:52:04.627488+00,2026-01-23 03:00:05.013666+00,https://back.hodleague.com/static/card_templates/eth_classic_common_20260117_213204.png,2026-01-23 03:00:05.012677+00
13,14,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=ZEC+CARD,f,2025-12-09 23:52:04.636075+00,2026-01-17 22:23:21.704829+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=ZEC+CARD,
14,15,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=ENA+CARD,f,2025-12-09 23:52:04.636928+00,2026-01-17 22:23:37.874321+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=ENA+CARD,
16,17,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=M+CARD,f,2025-12-09 23:52:04.638301+00,2026-01-17 22:23:44.730194+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=M+CARD,
48,41,3,classic,https://back.hodleague.com/static/card_renders/card_48.png,t,2026-01-19 21:58:07.938858+00,2026-01-23 03:00:00.390419+00,https://back.hodleague.com/static/card_templates/uni_classic_common_20260119_223323.png,2026-01-23 03:00:00.389868+00
7,8,3,classic,https://back.hodleague.com/static/card_renders/card_7.png,t,2025-12-09 23:52:04.631107+00,2026-01-23 03:00:00.783379+00,https://back.hodleague.com/static/card_templates/trx_classic_common_20260119_223411.png,2026-01-23 03:00:00.782691+00
6,7,3,classic,https://back.hodleague.com/static/card_renders/card_6.png,t,2025-12-09 23:52:04.630359+00,2026-01-23 03:00:01.160488+00,https://back.hodleague.com/static/card_templates/sol_classic_common_20260119_223453.png,2026-01-23 03:00:01.159313+00
5,6,3,classic,https://back.hodleague.com/static/card_renders/card_5.png,t,2025-12-09 23:52:04.629422+00,2026-01-23 03:00:01.546498+00,https://back.hodleague.com/static/card_templates/bnb_classic_common_20260117_220414.png,2026-01-23 03:00:01.545664+00
8,9,3,classic,https://back.hodleague.com/static/card_renders/card_8.png,t,2025-12-09 23:52:04.632208+00,2026-01-23 03:00:01.926661+00,https://back.hodleague.com/static/card_templates/doge_classic_common_20260117_220517.png,2026-01-23 03:00:01.925749+00
10,11,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=AVAX+CARD,f,2025-12-09 23:52:04.633852+00,2026-01-17 21:39:17.058194+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=AVAX+CARD,
44,46,3,classic,https://back.hodleague.com/static/card_renders/card_44.png,t,2026-01-17 22:54:58.090301+00,2026-01-23 03:00:05.396955+00,https://back.hodleague.com/static/card_templates/pepe_classic_common_20260117_225443.png,2026-01-23 03:00:05.395913+00
45,47,3,classic,https://back.hodleague.com/static/card_renders/card_45.png,t,2026-01-17 22:56:16.723382+00,2026-01-23 03:00:05.804915+00,https://back.hodleague.com/static/card_templates/op_classic_common_20260117_225605.png,2026-01-23 03:00:05.804029+00
50,51,3,classic,https://back.hodleague.com/static/card_renders/card_50.png,t,2026-01-19 22:15:52.556313+00,2026-01-23 03:00:06.20793+00,https://back.hodleague.com/static/card_templates/abx_classic_common_20260119_222857.png,2026-01-23 03:00:06.207069+00
41,43,3,classic,https://back.hodleague.com/static/card_renders/card_41.png,t,2026-01-17 22:44:49.686427+00,2026-01-23 03:00:06.599077+00,https://back.hodleague.com/static/card_templates/aster_classic_common_20260117_224433.png,2026-01-23 03:00:06.598207+00
42,44,3,classic,https://back.hodleague.com/static/card_renders/card_42.png,t,2026-01-17 22:50:10.386899+00,2026-01-23 03:00:07.011514+00,https://back.hodleague.com/static/card_templates/arb_classic_common_20260117_224955.png,2026-01-23 03:00:07.010684+00
31,32,3,classic,https://back.hodleague.com/static/card_renders/card_31.png,t,2025-12-09 23:52:04.65463+00,2026-01-23 03:00:07.408715+00,https://back.hodleague.com/static/card_templates/spx_classic_common_20260119_223221.png,2026-01-23 03:00:07.407731+00
25,26,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=XTZ+CARD,f,2025-12-09 23:52:04.647031+00,2026-01-17 22:26:26.195061+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=XTZ+CARD,
28,29,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=AB+CARD,f,2025-12-09 23:52:04.65057+00,2026-01-17 22:26:29.713956+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=AB+CARD,
26,27,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=DCR+CARD,f,2025-12-09 23:52:04.648968+00,2026-01-17 22:26:36.207492+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=DCR+CARD,
27,28,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=IOTA+CARD,f,2025-12-09 23:52:04.64985+00,2026-01-17 22:26:42.228441+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=IOTA+CARD,
29,30,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=KAIA+CARD,f,2025-12-09 23:52:04.652802+00,2026-01-17 22:26:45.528377+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=KAIA+CARD,
35,36,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=TRUMP+CARD,f,2025-12-21 18:25:45.557194+00,2026-01-17 22:23:48.148434+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=TRUMP+CARD,
36,37,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=NIGHT+CARD,f,2025-12-21 18:26:07.656773+00,2026-01-17 22:23:52.543485+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=NIGHT+CARD,
18,19,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=KCS+CARD,f,2025-12-09 23:52:04.639903+00,2026-01-17 22:23:57.839454+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=KCS+CARD,
20,21,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=KAS+CARD,f,2025-12-09 23:52:04.641669+00,2026-01-17 22:24:06.955168+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=KAS+CARD,
21,22,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=FLR+CARD,f,2025-12-09 23:52:04.64228+00,2026-01-17 22:24:11.710042+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=FLR+CARD,
32,33,3,classic,https://via.placeholder.com/400x600/6366f1/ffffff?text=Story+CARD,f,2025-12-21 18:23:25.740111+00,2026-01-17 22:26:15.528529+00,https://via.placeholder.com/400x600/6366f1/ffffff?text=Story+CARD,
