id,name,symbol,weight,image_url,is_active,created_at,updated_at
3,Bitcoin,BTC,10,https://s2.coinmarketcap.com/static/img/coins/200x200/1.png,t,2025-12-09 23:50:34.58429+00,2025-12-09 23:50:34.584292+00
4,Ethereum,ETH,10,https://s2.coinmarketcap.com/static/img/coins/200x200/1027.png,t,2025-12-09 23:50:34.586412+00,2025-12-09 23:50:34.586412+00
7,Solana,SOL,9,https://s2.coinmarketcap.com/static/img/coins/200x200/5426.png,t,2025-12-09 23:50:34.588496+00,2025-12-09 23:50:34.588497+00
8,TRON,TRX,9,https://s2.coinmarketcap.com/static/img/coins/200x200/1958.png,t,2025-12-09 23:50:34.588943+00,2025-12-09 23:50:34.588944+00
9,Dogecoin,DOGE,8,https://s2.coinmarketcap.com/static/img/coins/200x200/74.png,t,2025-12-09 23:50:34.589526+00,2025-12-09 23:50:34.589527+00
12,Hyperliquid,HYPE,7,https://s2.coinmarketcap.com/static/img/coins/200x200/32196.png,t,2025-12-09 23:50:34.591191+00,2025-12-09 23:50:34.591191+00
27,Decred,DCR,2,https://s2.coinmarketcap.com/static/img/coins/200x200/1168.png,f,2025-12-09 23:50:34.60093+00,2026-01-17 22:26:36.206585+00
28,IOTA,IOTA,2,https://s2.coinmarketcap.com/static/img/coins/200x200/1720.png,f,2025-12-09 23:50:34.601516+00,2026-01-17 22:26:42.227587+00
20,Polygon,POL,5,https://s2.coinmarketcap.com/static/img/coins/200x200/28321.png,t,2025-12-09 23:50:34.595925+00,2026-01-17 21:49:27.950221+00
11,Avalanche,AVAX,8,https://s2.coinmarketcap.com/static/img/coins/200x200/5805.png,f,2025-12-09 23:50:34.590866+00,2026-01-17 22:23:15.410358+00
14,Zcash,ZEC,7,https://s2.coinmarketcap.com/static/img/coins/200x200/1437.png,f,2025-12-09 23:50:34.592202+00,2026-01-17 22:23:21.703798+00
13,World Liberty Financial,WLFI,7,https://s2.coinmarketcap.com/static/img/coins/200x200/33251.png,t,2025-12-09 23:50:34.591679+00,2026-01-17 22:23:29.612839+00
15,Ethena,ENA,6,https://s2.coinmarketcap.com/static/img/coins/200x200/30171.png,f,2025-12-09 23:50:34.592795+00,2026-01-17 22:23:37.873646+00
17,MemeCore,M,6,https://s2.coinmarketcap.com/static/img/coins/200x200/35491.png,f,2025-12-09 23:50:34.593964+00,2026-01-17 22:23:44.729354+00
